,address,id,lat,lng,location,name,subCategory,details
1198,Damrak 279,29886,52.375028379657,4.8959736527098,Amsterdam,Beurs van Berlage,Event Space,http://tour-pedia.org/api/getPlaceDetails?id=29886
1199,Nieuwezijds Voorburgwal 5,29887,52.377079399177,4.8952674865723,Amsterdam,Crowne Plaza,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=29887
1200,Dam 9,29888,52.372625482364,4.8947525024414,Amsterdam,NH Grand Hotel Krasnapolsky,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=29888
1201,Spuistraat 2,29889,52.377374127826,4.8941892385483,Amsterdam,Bitterzoet,Music Venue,http://tour-pedia.org/api/getPlaceDetails?id=29889
1202,Nieuwendijk 19HS,29890,52.3784192,4.895165,Amsterdam,Lost in Amsterdam,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29890
1203,Dam 27,29891,52.372820350621,4.8936823010445,Amsterdam,Nationaal Monument op de Dam,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=29891
1204,Nieuwezijds Kolk 15,29892,52.375990701781,4.8946071833084,Amsterdam,Basic Fit,Gym,http://tour-pedia.org/api/getPlaceDetails?id=29892
1205,Nieuwezijds Kolk 19,29893,52.376155903339,4.8945808410645,Amsterdam,Inntel Hotels Amsterdam Centre,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=29893
1206,Nieuwezijds Voorburgwal 67,29894,52.375503146504,4.8930217332894,Amsterdam,The Convent Hotel,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=29894
1207,Oudezijds Voorburgwal,29895,52.373660403094,4.8978638648987,Amsterdam,Red Light District / De Wallen,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=29895
1208,Nieuwezijds Voorburgwal 250,29897,52.371924604553,4.8904609680176,Amsterdam,BeerTemple,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29897
1209,Warmoesstraat 64,29898,52.375241287592,4.897730746627,Amsterdam,Baba Coffeeshop,Smoke Shop,http://tour-pedia.org/api/getPlaceDetails?id=29898
1210,Rokin 75,29899,52.370500230572,4.8930634412607,Amsterdam,Bierfabriek,Brewery,http://tour-pedia.org/api/getPlaceDetails?id=29899
1211,Oudebrugsteeg 16,29900,52.375589545862,4.8974305187728,Amsterdam,The Grasshopper,Smoke Shop,http://tour-pedia.org/api/getPlaceDetails?id=29900
1212,Nieuwmarkt,29901,52.372566530453,4.9003207683563,Amsterdam,Nieuwmarkt,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29901
1214,Nieuwe Doelenstraat 2-14,29903,52.367460273561,4.8944407663636,Amsterdam,Hotel de l'Europe,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=29903
1216,Singel,29906,52.366775759331,4.8913407325745,Amsterdam,Bloemenmarkt,Flower Shop,http://tour-pedia.org/api/getPlaceDetails?id=29906
1217,Stadhouderskade 78,29907,52.357747454973,4.8915874958038,Amsterdam,Heineken Experience,Brewery,http://tour-pedia.org/api/getPlaceDetails?id=29907
1218,Reguliersbreestraat 26-34,29908,52.366333316476,4.8947102667014,Amsterdam,Pathé Tuschinski,Multiplex,http://tour-pedia.org/api/getPlaceDetails?id=29908
1219,Keizersgracht 609,29909,52.364019030188,4.8931494860057,Amsterdam,Foam Photography Museum,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=29909
1220,Thorbeckeplein 8-12,29910,52.365556970227,4.8957953356443,Amsterdam,Coco’s Outback,Sports Bar,http://tour-pedia.org/api/getPlaceDetails?id=29910
1221,Rembrandtplein 10,29911,52.366015828043,4.8955410718918,Amsterdam,St. James' Gate,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29911
1222,Tweede Weteringplantsoen 21,29912,52.357975921915,4.8922244298435,Amsterdam,Heineken International B.V.,Office,http://tour-pedia.org/api/getPlaceDetails?id=29912
1223,Weteringschans 157,29913,52.359597391132,4.8902961753181,Amsterdam,Café Brecht,Speakeasy,http://tour-pedia.org/api/getPlaceDetails?id=29913
1224,Marie Heinekenplein,29914,52.356980815862,4.8912119865417,Amsterdam,Marie Heinekenplein,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29914
1225,Vijzelstraat 32,29916,52.364619055335,4.8923441959147,Amsterdam,Stadsarchief - De Bazel,Library,http://tour-pedia.org/api/getPlaceDetails?id=29916
